trial_id,value,params_learning_rate,params_use_mup,params_hidden_size
0,5.884294,0.08838834764831845,True,256
1,6.816034,0.00390625,True,256
2,5.960066,0.03125,True,512
3,6.270685,0.005524271728019903,False,2048
4,6.590577,0.00390625,False,512
5,6.285064,0.015625,True,1024
6,5.918208,0.04419417382415922,True,256
7,6.200259,0.015625,True,512
8,6.487037,0.005524271728019903,False,512
9,5.828784,0.0625,True,256
10,7.011461,0.001953125,False,1024
11,7.151417,0.0013810679320049757,False,1024
12,5.579269,0.08838834764831845,False,512
13,5.877768,0.08838834764831845,False,256
14,6.086324,0.02209708691207961,True,512
15,6.255686,0.0078125,True,2048
16,6.427021,0.00390625,True,1024
17,5.777325,0.25,False,1024
18,5.313225,0.1767766952966369,True,1024
19,6.12682,0.011048543456039806,False,1024
20,5.757971,0.04419417382415922,True,512
21,6.12147,0.02209708691207961,True,256
22,5.289449,0.04419417382415922,False,1024
23,6.884073,0.25,False,256
24,5.267755,0.0625,False,1024
25,6.425734,0.011048543456039806,True,512
26,7.00351,0.0027621358640099515,False,256
27,6.178343,0.015625,True,256
28,6.483992,0.0027621358640099515,True,2048
29,6.697847,0.005524271728019903,True,256
30,7.287613,0.0013810679320049757,True,256
31,6.034814,0.015625,False,512
32,5.465843,0.25,True,1024
33,6.265728,0.0078125,False,2048
34,6.299858,0.1767766952966369,True,256
35,5.286518,0.125,True,1024
36,6.263403,0.005524271728019903,True,2048
37,7.174064,0.0013810679320049757,False,2048
38,6.560742,0.005524271728019903,True,512
39,inf,0.005524271728019903,True,1024
40,5.19379,0.125,True,2048
41,6.221624,0.0078125,False,256
42,5.206428,0.0625,False,2048
43,5.993195,0.02209708691207961,False,2048
44,5.598594,0.125,True,512
45,5.514262,0.0625,False,512
46,6.137162,0.011048543456039806,False,256
47,5.677127,0.125,False,512
48,6.8872,0.0027621358640099515,True,512
49,6.340262,0.0027621358640099515,False,2048
50,5.543045,0.08838834764831845,True,512
51,7.293271,0.0013810679320049757,False,256
52,6.932269,0.001953125,True,2048
53,6.020519,0.015625,False,1024
54,7.018872,0.0027621358640099515,True,256
55,6.091724,0.02209708691207961,True,1024
56,5.949463,0.25,True,512
57,6.295972,0.00390625,True,2048
58,5.569071,0.03125,False,1024
59,7.132182,0.0009765625,True,1024
60,5.910546,0.04419417382415922,True,2048
61,7.013043,0.001953125,False,2048
62,5.325362,0.1767766952966369,False,2048
63,5.349714,0.125,False,1024
64,6.253156,0.011048543456039806,True,2048
65,6.251724,0.015625,True,2048
66,6.513699,0.005524271728019903,False,256
67,6.073621,0.015625,False,2048
68,5.42364,0.0625,True,1024
69,6.836812,0.0027621358640099515,False,512
70,5.284669,0.08838834764831845,True,1024
71,7.419972,0.0009765625,False,256
72,5.790795,0.04419417382415922,True,1024
73,5.79289,0.03125,False,2048
74,6.652327,0.00390625,True,512
75,7.152627,0.001953125,True,256
76,6.070585,0.015625,False,256
77,7.038127,0.001953125,True,512
78,7.138359,0.001953125,False,256
79,5.8548,0.02209708691207961,False,512
80,5.160413,0.08838834764831845,False,2048
81,7.051705,0.0013810679320049757,True,2048
82,7.397236,0.0009765625,True,256
83,7.22633,0.0009765625,True,512
84,6.024478,0.125,True,256
85,5.587086,0.03125,False,512
86,6.519736,0.0027621358640099515,False,1024
87,7.232972,0.0009765625,False,512
88,5.823891,0.04419417382415922,False,256
89,6.67678,0.0027621358640099515,True,1024
90,6.227797,0.1767766952966369,False,256
91,5.276923,0.08838834764831845,False,1024
92,5.479865,0.04419417382415922,False,512
93,6.284838,0.00390625,False,2048
94,6.030726,0.03125,True,2048
95,8.216705,0.25,True,256
96,6.217327,0.02209708691207961,True,2048
97,6.30725,0.011048543456039806,True,256
98,5.148889,0.1767766952966369,True,2048
99,5.966155,0.02209708691207961,False,256
100,5.95421,0.125,False,256
101,6.12167,0.011048543456039806,False,512
102,5.221887,0.25,True,2048
103,5.555203,0.1767766952966369,False,1024
104,6.337598,0.011048543456039806,True,1024
105,5.719227,0.1767766952966369,True,512
106,5.599293,0.25,False,2048
107,6.352585,0.005524271728019903,False,1024
108,7.18861,0.0009765625,False,1024
109,6.353202,0.0078125,True,1024
110,6.043831,0.03125,True,256
111,5.16688,0.125,False,2048
112,6.965573,0.001953125,True,1024
113,6.389355,0.00390625,False,1024
114,5.844995,0.0625,False,256
115,7.170408,0.0013810679320049757,False,512
116,6.313596,0.0078125,False,1024
117,5.469911,0.04419417382415922,False,2048
118,6.499054,0.0078125,True,512
119,5.317162,0.08838834764831845,True,2048
120,7.043467,0.001953125,False,512
121,7.101812,0.0009765625,True,2048
122,5.811412,0.1767766952966369,False,512
123,5.537099,0.0625,True,512
124,6.571313,0.0078125,True,256
125,5.678241,0.0625,True,2048
126,5.9879,0.03125,True,1024
127,7.080826,0.0013810679320049757,True,1024
128,5.893775,0.02209708691207961,False,1024
129,7.158917,0.0013810679320049757,True,512
130,5.812685,0.03125,False,256
131,6.79817,0.00390625,False,256
133,6.367191,0.25,False,512
135,6.291528,0.0078125,False,512
